"","LAW.C","REGISTER.C","REG_OVER.C","CODE.C","DEF_LOB.C","DEF_LOB_ACT.C","TARGET.C","COOLING.C","DECL.C","MEETING.C","SANCTION_LIM.C","SANCTION_TRI.C","DISTANCE2019.C","JUD_Z.C","ADM_Z.C","TRADE_Z.C","BUDGET_Z.C","E_CIT_Z.C","PRESS_Z.C","CPI_Z.C","MEAN_CPI_Z.C","TRUST_Z.C","MEAN_TRUST_Z.C"
"AUT",1,1,0.44,0.44,0.01,0.16,1,0,0.01,0,1,0.11,1,0.94,0,0.93,0.03,0.02,0.83,0.86,0.84,0.29,0.17
"BEL",0,1,0.44,1,1,0.36,0.03,0,0,0,0,0,0,0.95,0.56,0.93,0,0.54,1,0.79,0.8,0.01,0.03
"CHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.08,0.54,0.43,0.63,1,0.97,0.98,0.97,0.98
"DEU",0,0.44,0.44,0,0,0.16,1,0,0,0,0,0,0,0.56,0,0,0.99,0.11,0.98,0.92,0.94,0.52,0.62
"DNK",0,0,0,0.44,0,0,0,0,0,1,0,0,0,0.99,0.65,0.93,0.98,0.97,1,0.98,0.99,0.74,0.68
"ESP",0,0.44,1,0.44,0,0,0,0.69,0,0,0,0,0,0.02,0.03,0.93,0.86,0.03,0,0.08,0.02,0.02,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.98,0.92,0.43,0.07,1,0.75,0.68,0.05,0.03
"FIN",0,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,1,0.88,0.04,1,0.09,1,0.98,0.98,0.76,0.62
"FRA",1,1,1,1,0.72,0.64,1,1,0.36,0,0,1,0.44,0.43,0.67,0.93,0.76,0.56,0.02,0.47,0.52,0.03,0.01
"GBR",1,1,1,0.44,0.04,0.64,0.44,0.69,0.17,1,0,0.11,1,0.7,0.91,0.03,0.92,0.93,0.08,0.86,0.93,0.01,0.02
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.02,0,0.01,0,0,0,0.04,0
"HUN",0,0,0,0,0.72,0,0.44,0.69,0,1,0,0,0,0,0.01,0.93,0.09,0.04,0,0,0,0.2,0.04
"IRL",1,1,1,1,0.36,1,1,0.44,0.51,1,0,1,1,0.93,0.93,0,0.03,0.07,1,0.75,0.74,0.57,0.64
"ITA",0,1,0.44,0.44,0.09,0.64,0.03,0,0.19,0,1,0,0,0.01,0,0.93,0.92,0,0,0,0,0,0
"LTU",1,1,1,1,1,0.64,1,0.44,0.69,0,1,0,0.44,0.02,0.87,0.83,0,0.01,0.94,0.04,0.02,0.05,0.01
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.04,0.93,0.43,0.69,1,0.92,0.95,0.96,0.94
"LVA",0,0,0,0.44,1,0.16,0.44,0,0,1,0,0,0,0,0.81,0.43,0.43,0,0.02,0.01,0.01,0,0
"NLD",0,0.44,0.11,0.44,0.36,0,0.03,0,0,0,0.11,0,0,0.99,0.88,0.93,0.51,0.84,1,0.95,0.96,0.69,0.78
"NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.96,0.46,1,0.95,1,0.97,0.98,0.63,0.82
"POL",1,1,0.44,0.44,1,0.16,1,0,0,1,0,0.11,1,0,0,0.93,0.09,0,0,0.02,0.02,0.24,0.16
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.07,0.93,0.09,0.04,1,0.08,0.09,0.09,0.19
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.96,0.04,0.02,0,0,0,0
"SVN",1,1,0.44,0.44,1,0.16,1,0.69,0.49,0,1,0.11,1,0,0.67,0.93,0.98,0,0.58,0.04,0.03,0.04,0
"SWE",0,0,0,0.44,0,0,0,0.44,0,0,0,0,0,0.93,0.89,0.87,0.03,0.78,1,0.97,0.98,0.3,0.33
