"","LAW.M","REGISTER.M","REG_OVER.M","CODE.M","DEF_LOB.M","DEF_LOB_ACT.M","TARGET.M","COOLING.M","DECL.M","MEETING.M","SANCTION_LIM.M","SANCTION_TRI.M","DISTANCE2019.M","JUD_Z.M","ADM_Z.M","TRADE_Z.M","BUDGET_Z.M","E_CIT_Z.M","PRESS_Z.M","CPI_Z.M","MEAN_CPI_Z.M","TRUST_Z.M","MEAN_TRUST_Z.M"
"AUT",1,1,0.44,0.44,0.32,0.63,1,0,0.33,0,1,0.57,1,0.94,0.13,0.93,0.4,0.36,0.83,0.86,0.84,0.29,0.64
"BEL",0,1,0.44,1,1,0.36,0.4,0,0,0,0,0,0,0.95,0.56,0.93,0.13,0.54,1,0.79,0.8,0.3,0.41
"CHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.53,0.54,0.43,0.63,1,0.97,0.98,0.97,0.98
"DEU",0,0.44,0.44,0,0,0.63,1,0,0,0,0,0,0,0.56,0.13,0.14,0.99,0.58,0.98,0.92,0.94,0.52,0.62
"DNK",0,0,0,0.44,0,0,0,0,0,1,0,0,0,0.99,0.65,0.93,0.98,0.97,1,0.98,0.99,0.74,0.68
"ESP",0,0.44,1,0.44,0,0,0,0.69,0,0,0,0,0,0.36,0.4,0.93,0.86,0.42,0.14,0.53,0.37,0.38,0.19
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.98,0.92,0.43,0.52,1,0.75,0.68,0.46,0.42
"FIN",0,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,1,0.88,0.43,1,0.54,1,0.98,0.98,0.76,0.62
"FRA",1,1,1,1,0.72,0.64,1,1,0.36,0,0,1,0.44,0.43,0.67,0.93,0.76,0.56,0.36,0.47,0.52,0.41,0.34
"GBR",1,1,1,0.44,0.45,0.64,0.44,0.69,0.64,1,0,0.57,1,0.7,0.91,0.41,0.92,0.93,0.53,0.86,0.93,0.33,0.4
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.51,0.38,0.08,0.29,0,0.1,0.1,0.45,0.1
"HUN",0,0,0,0,0.72,0,0.44,0.69,0,1,0,0,0,0.05,0.33,0.93,0.55,0.46,0,0.06,0.08,0.67,0.44
"IRL",1,1,1,1,0.36,1,1,0.44,0.51,1,0,1,1,0.93,0.93,0,0.4,0.51,1,0.75,0.74,0.57,0.64
"ITA",0,1,0.44,0.44,0.55,0.64,0.4,0,0.66,0,1,0,0,0.29,0.16,0.93,0.92,0.18,0.03,0.19,0.17,0.15,0.09
"LTU",1,1,1,1,1,0.64,1,0.44,0.69,0,1,0,0.44,0.38,0.87,0.83,0.02,0.32,0.94,0.44,0.39,0.47,0.27
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.46,0.93,0.43,0.69,1,0.92,0.95,0.96,0.94
"LVA",0,0,0,0.44,1,0.63,0.44,0,0,1,0,0,0,0.18,0.81,0.43,0.43,0.21,0.36,0.28,0.31,0.17,0.11
"NLD",0,0.44,0.57,0.44,0.36,0,0.4,0,0,0,0.57,0,0,0.99,0.88,0.93,0.51,0.84,1,0.95,0.96,0.69,0.78
"NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.96,0.46,1,0.95,1,0.97,0.98,0.63,0.82
"POL",1,1,0.44,0.44,1,0.63,1,0,0,1,0,0.57,1,0.03,0.09,0.93,0.55,0.1,0,0.35,0.39,0.7,0.63
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.51,0.93,0.55,0.46,1,0.53,0.54,0.55,0.66
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0.93,0.96,0.43,0.36,0.13,0.14,0.16,0.18
"SVN",1,1,0.44,0.44,1,0.63,1,0.69,0.49,0,1,0.57,1,0.12,0.67,0.93,0.98,0.26,0.58,0.44,0.43,0.45,0.17
"SWE",0,0,0,0.44,0,0,0,0.44,0,0,0,0,0,0.93,0.89,0.87,0.41,0.78,1,0.97,0.98,0.3,0.33
